Nation,Name CHN,Name,Age,Value,Instagram Posts,Instagram Fans
ESP,布斯克茨,Sergio Busquets,29,8000万,249,18781
ESP,阿森西奥,Marco Asensio,22,7500万,534,8272796
ESP,伊斯科,Isco,26,7500万,323,14308860
ESP,德赫亚,David de Gea,27,7000万,360,9748514
ESP,科克,Koke,26,7000万,629,1866502
POR,C·罗纳尔多,Cristiano Ronaldo,33,10000万,2266,127624359
POR,贝尔纳多·席尔瓦,Bernardo Silva,23,5000万,912,760278
POR,格德斯,Gonçalo Guedes,21,4000万,186,343698
POR,热尔松·马丁斯,Gelson Martins,23,3000万,396,161878
POR,若奥·马里奥,João Mário,25,2500万,239,504730
FRA,姆巴佩,Kylian Mbappé,19,12000万,421,8300000
FRA,格里兹曼,Antoine Griezmann,27,10000万,474,16600000
FRA,博格巴,Paul Pogba,25,9000万,688,22800000
FRA,登贝莱,Ousmane Dembélé,21,8000万,122,5600000
FRA,瓦拉内,Raphaël Varane,25,7000万,737,8500000
GER,勒鲁瓦·萨内,Leroy Sané,22,9000万,353,2500000
GER,托尼·克罗斯,Toni Kroos,28,8000万,491,17300000
GER,特尔施特根,Marc-André ter Stegen,26,6000万,21,12700
GER,蒂莫·维尔纳,Timo Werner,22,6000万,126,334000
GER,胡梅尔斯,Mats Hummels,29,6000万,396,2000000
BRA,内马尔,Neymar,26,18000万,4148,93800000
BRA,库蒂尼奥,Philippe Coutinho,25,10000万,351,12300000
BRA,热苏斯,Gabriel Jesus,21,8000万,637,7200000
BRA,菲尔米诺,Roberto Firmino,26,8000万,604,4300000
BRA,卡塞米罗,Casemiro,26,6000万,950,7900000
ENG,哈里·凯恩,Harry Kane,24,15000万,545,4600000
ENG,阿里,Dele Alli,22,10000万,417,3500000
ENG,斯特林,Raheem Sterling,23,9000万,185,3600000
ENG,拉什福德,Marcus Rashford,20,6500万,193,4600000
ENG,凯尔·沃克,Kyle Walker,28,5000万,397,848000
BEL,德布劳内,Kevin De Bruyne,26,15000万,265,5900000
BEL,阿扎尔,Eden Hazard,27,11000万,318,13100000
BEL,卢卡库,Romelu Lukaku,25,9000万,132,3000000
BEL,库尔图瓦,Thibaut Courtois,26,6000万,650,4400000
BEL,巴舒亚伊,Michy Batshuayi,24,4000万,620,1800000
ARG,梅西,Lionel Messi,30,18000万,322,92300000
ARG,迪巴拉,Paulo Dybala,24,10000万,641,16200000
ARG,阿圭罗,Sergio Agüero,29,8000万,549,8900000
ARG,伊瓜因,Gonzalo Higuaín,30,7000万,164,2500000
ARG,迪玛利亚,Ángel Di María,30,4000万,404,6000000
URU,苏亚雷斯,Luis Suárez,31,7000万,407,27696992
URU,卡瓦尼,Edinson Cavani,31,6000万,555,4356605
URU,吉梅内斯,José Giménez,23,4500万,452,688203
URU,戈丁,Diego Godín,32,3500万,421,1173720
URU,托雷拉,Lucas Torreira,22,2500万,331,59805
CRO,拉基蒂奇,Ivan Rakitic,30,5000万,996,9690472
CRO,佩里西奇,Ivan Perisic,29,4000万,679,824704
CRO,科瓦契奇,Mateo Kovacic,24,3000万,162,3990942
CRO,莫德里奇,Luka Modric,32,2500万,334,10731555
CRO,福萨里科,Sime Vrsaljko,26,2500万,8,1117
COL,哈梅斯·罗德里格斯,James Rodríguez,26,6500万,777,36866249
COL,达文森·桑切斯,Davinson Sánchez,21,4000万,109,358738
COL,夸德拉多,Juan Cuadrado,30,2800万,659,5599259
COL,法尔考,Falcao,32,1500万,896,9715836
COL,杜万·萨帕塔,Duván Zapata,27,1500万,158,143421
SEN,萨迪奥·马内,Sadio Mané,26,7000万,79,2200000
SEN,库利巴利,Kalidou Koulibaly,26,5000万,120,430000
SEN,凯塔,Keita Baldé,23,3000万,1892,316000
SEN,伊德里萨·盖伊,Idrissa Gueye,28,2000万,74,112000
SEN,萨利夫·萨内,Salif Sané,27,1600万,1047,47200
POL,莱万多夫斯基,Robert Lewandowski,29,9000万,977,13000000
POL,杰林斯基,Piotr Zielinski,24,2500万,125,356000
POL,什琴斯尼,Wojciech Szczesny,28,2000万,397,1400000
POL,格利克,Kamil Glik,30,2000万,297,311000
POL,克里霍维亚克,Grzegorz Krychowiak,28,1800万,477,597000
SRB,米林科维奇-萨维奇,Sergej Milinkovic-Savic,23,7000万,278,200000
SRB,马蒂奇,Nemanja Matic,29,4000万,59,949000
SRB,纳斯塔西奇,Matija Nastasic,25,1700万,24,55100
SRB,塔迪奇,Dusan Tadic,29,1500万,7,6596
SRB,米利沃耶维奇,Luka Milivojevic,27,1500万,365,63300
DEN,埃里克森,Christian Eriksen,26,8000万,290,1100000
DEN,克里斯滕森,Andreas Christensen,22,4000万,130,551000
DEN,约根森,Nicolai Jörgensen,27,1500万,193,102000
DEN,皮翁·西斯托,Pione Sisto,23,1500万,245,47200
DEN,多尔贝里,Kasper Dolberg,20,1400万,162,325000
SUI,扎卡,Granit Xhaka,25,4000万,762,1300000
SUI,扎卡里亚,Denis Zakaria,21,2000万,115,30700
SUI,阿坎吉,Manuel Akanji,22,2000万,217,53400
SUI,恩博洛,Breel Embolo,21,1800万,240,163000
SUI,沙奇里,Xherdan Shaqiri,26,1800万,636,1000000
EGY,萨拉赫,Mohamed Salah,25,15000万,393,15800000
EGY,埃尔内尼,Mohamed Elneny,25,1000万,463,3200000
EGY,索比,Ramadan Sobhi,21,700万,439,4100000
EGY,赫加齐,Ahmed Hegazy,27,500万,381,1900000
EGY,特雷泽盖,Trezeguet,23,350万,133,378000
MEX,洛萨诺,hirving lozano,22,2200万,197,553000
MEX,埃克托·埃雷拉,Héctor Herrera,28,1800万,235,499000
MEX,埃尔南德斯,Chicharito,30,1500万,223,4400000
MEX,科罗纳,Jesús Corona,25,1200万,276,318000
MEX,劳尔·吉梅内斯,Raúl Jiménez,27,1000万,4030,29300
RUS,马里奥·费尔南德斯,Mário Fernandes,27,1600万,9,11900
RUS,扎戈耶夫,Alan Dzagoev,27,1500万,250,7863
RUS,斯莫洛夫,Fedor Smolov,28,1500万,411,317000
RUS,阿金费耶夫,Igor Akinfeev,32,1000万,1643,3980
RUS,戈洛文,Aleksandr Golovin,22,1000万,528,148000
NGA,恩迪迪,Wilfred Ndidi,21,2500万,189,303000
NGA,摩西,Victor Moses,27,2000万,74,454000
NGA,伊赫纳乔,Kelechi Iheanacho,21,1500万,464,422000
NGA,艾哈迈德·穆萨,Ahmed Musa,25,1500万,157,141000
NGA,伊沃比,Alex Iwobi,22,1500万,0,0
MEX,阿米涅·阿里特,Amine Harit,20, 2500万,109,388199
MEX,贝纳蒂亚,Medhi Benatia,31,2300万,509,1941495
MEX,齐耶赫,Hakim Ziyech,25,2000万,6,497510
MEX,贝尔汉达,Younès Belhanda,28,700万,36,592985
MEX,本纳赛尔,Youssef Aït Bennasser,21,500万,126,118350
SWE,林德洛夫,Victor Lindelöf,23,2500万,483,934302
SWE,福斯贝里,Emil Forsberg,26,2500万,137,79526
SWE,奥古斯丁森, Ludwig Augustinsson,24,650万,237,40497
SWE,庞图斯·扬森,Pontus Jansson,27,600万,216,46413
SWE,马库斯·贝里, Marcus Berg,31,500万,128,52083
KOR,孙兴慜, Heung-min Son,25,5000万,55,821691
KOR,黄喜灿,Hee-chan Hwang,22,750万,61,22430
KOR,寄诚庸,Sung-yong Ki,29,700万,603,6057
KOR,具滋哲,Ja-cheol Koo,29,350万,11,7588
KOR,李在城,Jae-seong Lee,25,200万,55,23565
ISL,西古德森,Gylfi Sigurdsson,28,3000万,280,157000
ISL,古德蒙森,Johann Berg Gudmundsson,27,1000万,153,24300
ISL,芬博加松,Alfred Finnbogason,29,850万,227,46400
ISL,西于尔兹松,Ragnar Sigurdsson,31,400万,61,18000
ISL,贡纳尔松,Aron Gunnarsson,29,250万,366,64300
JPN,香川真司,Shinji Kagawa,29,1300万,251,1200000
JPN,吉田麻也,Maya Yoshida,29,700万,265,177000
JPN,冈崎慎司,Shinji Okazaki,32,600万,167,238903
JPN,乾贵士,Takashi Inui,29,500万,411,125000
JPN,武藤嘉纪,Yoshinori Muto,25,450万,9,26000
TUN,哈兹里,Wahbi Khazri,27,1000万,250,49600
TUN,斯希里,Ellyes Skhiri,23,800万,125,24598
TUN,赛义夫·哈奥,Saîf-Eddine Khaoui,23,500万,116,45808
TUN,斯利蒂,Naïm Sliti,25,350万,100,27580
TUN,斯拉斐,Bassem Srarfi,20,300万,284,101000
AUS,阿伦·莫伊,Aaron Mooy,27,1000万,21,66309
AUS,马修·瑞恩,Mathew Ryan,26,800万,248,983
AUS,马西莫·隆戈,Massimo Luongo,25,450万,247,24743
AUS,马修·莱基,Mathew Leckie,27,400万,73,30985
AUS,比伊奇,Aziz Behich,27,275万,441,25362
CRC,纳瓦斯,Keylor Navas,31,1800万,324,6894156
CRC,博格斯,Celso Borges,30,400万,468,235581
CRC,乔尔·坎贝尔,Joel Campbell,25,300万,862,512620
CRC,奥维多,Bryan Oviedo,28,250万,143,65091
CRC,布莱恩·鲁伊兹,Bryan Ruíz,32,200万,179,224476
IRN,阿兹蒙,Sardar Azmoun,23,900万,168,2375888
IRN,贾汉巴赫什,Alireza Jahanbakhsh,24,800万,203,762946
IRN,安萨里法德,Karim Ansarifard,28,400万,84,265706
IRN,米拉德·穆罕默迪,Milad Mohammadi,24,250万,87,105217
IRN,迈赫迪·泰赖米,Mehdi Taremi,25,170万,1,24906
PER,卡里略,André Carrillo,26,600万,346,824151
PER,鲁伊迪亚斯,Raúl Ruidíaz,27,500万,379,392595
PER,塔皮亚,Renato Tapia,22,400万,559,440994
PER,奎瓦,Christian Cueva,26,300万,26,8222
PER,胡尔塔多,Paolo Hurtado,27,300万,348,246071
KSA,阿尔沙哈拉尼,Yasir Al-Shahrani,26,170万,211,1241969
KSA,阿贝德,Nawaf Al-Abed,28,170万,161,1032525
KSA,阿尔法拉伊,Salman Al-Faraj,28,100万,41,417
KSA,阿尔穆瓦利德,Fahad Al-Muwallad,23,100万,423,787388
KSA,莫格哈维,Hussein Al Moghawi,30,98万,0,0
PAN,戈多伊,Aníbal Godoy,28,80万,34,18336
PAN,巴洛伊,Felipe Baloy,37,70万,2015,161967
PAN,罗曼·托雷斯,Román Torres,32,65万,5,5593
PAN,路易斯·奥瓦列,Luis Ovalle,29,55万,398,21053
PAN,伊斯梅尔·迪亚兹,Ismael Díaz,21,50万,320,74233
